created,modified,uuid,title,plot,creation_date,certificate,file_path,rating,type,is_removed
"2020-01-01 13:30:00+00","2020-06-07 07:08:44+00","59293411-08b7-4f49-8259-9d379952d62f","One Love: The Bob Marley All-Star Tribute",,"2007-12-24",,,"8.3","film","false"
"2020-01-01 13:30:00+00","2020-05-18 06:28:00+00","5a769a49-9df1-4be0-bce9-a86904de115b","Star Trek: Starfleet Command III","Enter the universe of Star Trek: Next Generation, and fight against whatever threatens the peace of Star Fleet and their new ally, the Klingon Empire. With this new bond you must protect Unity 1 (a highly advanced space station capable of detect far and even cloaked ships) from whatever threats emerge.","2004-05-04",,,"8","film","false"
"2020-01-01 13:30:00+00","2020-02-13 02:49:52+00","6fa2e926-e733-41dc-97fa-df2e2602325f","A Star Athlete",,"1980-02-07",,,"6.7","film","false"
"2020-01-01 13:30:00+00","2020-07-12 07:24:11+00","fbcb0bba-d9f5-4013-82ae-0f87964e5b74","Hibi Rock: Puke Afro and the Pop Star","Takuro Hibinuma had no talent for sports or aptitude for studying throughout high school and never had a girlfriend. However, he found his true calling when he began playing rock music. While in high school, he formed a rock band named Rock 'n' Roll with his friends. After graduation, they move to Tokyo and begin playing live shows. One day, at a live house, Takuro meets a world-renowned idol singer named Saki Utagawa and his fate is irrevocably altered when she asks him to write her a song.","1991-06-02",,,"5.6","film","false"
"2020-01-01 13:30:00+00","2020-07-11 04:51:57+00","b9233dcd-b091-4cc1-ad5e-3c833595fc32","2011 NBA All-Star Game","A documented movie about the 2011 All-star game which was held in Los Angeles, California. The game was held February 20, 2011 and was broadcasted by TNT.","2013-05-07",,,"8.6","film","false"
"2020-01-01 13:30:00+00","2020-06-07 23:28:50+00","a15cb9c9-ad46-4d25-8104-3ef8fd1a70be","The Stories: The Making of 'Rogue One: A Star Wars Story'","Divided 10 segments: A Rogue Idea: A recount of John Knoll's idea and pitch for the film, looking at the early days of production, hiring Gareth Edwards to direct, Edwards' love for the series, and building a collection of characters. Jyn: The Rebel: A closer look at the film's main protagonist: personality, character history and what separates her from other protagonists from the Star Wars universe, physical preparations for the shoot, and more. Cassian: The Spy: Much the same as the previous supplement in terms of introducing the character and his history, the qualities the character brings to the story, and casting Diego Luna. K-2SO: The Droid: A look at the robotic character: his 'anti C-3PO personality,' character design, Alan Tudyk's motion capture performance, and the humor the actor brought to the set. Baze and Chirrut: Guardians of the Whills: The actors discuss landing and accepting the roles, the characters' camaraderie, individual character details, faith and the force in the movie and the Star Wars universe, and the actors' physical performances. Bodhi and Saw: The Pilot and The Revolutionary: The piece begins with Riz Ahmed's auditions and crafting the character, the character's fate, and making key sequences. It moves on to examine Forest Whitaker's character and his history in the Star Wars universe, character definition and history, Whitaker's preparations for the role, and more. The Empire: A run through of key Imperial characters, including Galen Erso, Orson Krennic, Grand Moff Tarkin, and Darth Vader and the qualities (and in Vader's case, the presence) their actors brought to their roles. Visions of Hope: The Look of Rogue One: Designing a world that's true and familiar to the Star Wars universe but still unique to the film. It explores set construction, small design changes, and the black stormtroopers. The Princess and The Governor: Digitally recreating two important characters. Epilogue: The Story Continues (1080p, 4:15): Images from the film's premiere juxtaposed against fans talking up the film and the franchise. The piece ends with a selection of clips from the film.","1997-10-01",,,"7.2","film","false"
"2020-01-01 13:30:00+00","2020-07-09 06:51:39+00","05555b74-5132-4e00-ba56-1e84d16686f4","Sparkling Red Star","The adventure of Dongzi Pan, a boy whose father left home for the Long March in the Red Army and whose mother was killed by gangster of the evil landlord Hu.","1981-06-06",,,"6.6","film","false"
"2020-01-01 13:30:00+00","2020-08-09 17:00:15+00","0449801c-e2f8-4699-88b1-e22d1a7cbad5","The Star",,"2009-12-25",,,"6.2","film","false"
"2020-01-01 13:30:00+00","2020-02-12 02:19:15+00","06c25fed-0d7b-4346-af87-ba156df9b101","Star Wars: Rise of the Resistance","The Resistance needs your help. Hidden in the forest outside Black Spire Outpost, the Resistance is gathering recruits for a secret mission.","1998-06-26",,,"7.7","film","false"
"2020-01-01 13:30:00+00","2020-01-28 14:48:28+00","3d42097e-407b-4b0e-8ca0-810a71e6c75a","Star Pink","In the year 2001 ½, the Pink Panther is a gas station attendant on a small planet. When a particularly dangerous-looking spaceship arrives, the panther panics and closes his station, which makes the green little pointy-nosed man flying the ship furious. The panther tries to elude the man and his search robot by all possible means, even evaporating himself in a molecular disassembler and reassembling himself in another. The man does the same, but the panther throws a flower into the reassembler, which turns the man into part flower.","2006-07-15",,,"5.4","film","false"
"2020-01-01 13:30:00+00","2020-03-11 22:14:04+00","67c1857f-4194-4143-bffc-1f92126a690c","The State's 43rd Annual All-Star Halloween Special",,"1998-08-17",,,"8.6","film","false"
"2020-01-01 13:30:00+00","2020-09-10 20:59:28+00","897cc60e-0a29-4f71-b0b0-6e6b90853570","Phantasy Star Online Episode I & II","After leaving the war ravaged and resource depleted world of Coral a ship named Pioneer II has approached the planet Ragol. But a mysterious event surrounding the first landing party of ...","2011-05-22",,,"8.7","film","false"
"2020-01-01 13:30:00+00","2020-05-03 16:40:36+00","874296bc-a8a4-4458-9db5-413c7d9d7ceb","Star Wars: Star Warriors","Some Star Wars fans want to collect action figures... these fans want to be action figures! A tribute to the 501st Legion, a global organization of Star Wars costume enthusiasts, this insightful documentary shows how the super-fan club promotes interest in the films through charity and volunteer work at fundraisers and high-profile special events around the world.","2014-01-21",,,"7.4","film","false"
"2020-01-01 13:30:00+00","2020-03-09 12:41:58+00","15f4272a-aa62-4187-8728-19815e79920f","Fall in Love Like a Star","A superstar musician falls in love with his manager and struggles to choose between his career and true love.","1987-01-27",,,"5.3","film","false"
"2020-01-01 13:30:00+00","2020-05-31 01:01:49+00","db4d8c9a-f6b0-4526-8440-3fffc5c40653","The One: Making a Music Star","Based on the international sensation, the series will follow the lives of contestants as they attend a fully functioning music academy that turns aspiring singers into music stars through professional training. The show will follow all the drama in the music academy, as it offers vocal coaching and celebrity mentors who will turn potential into talent in a state-of-the-art training and recording facility. Each week contestants will perform live for the American audience, who will have to vote to keep their favorites in the competition. In addition, the contestants' coaches will also serve as judges. The winner will receive a recording contract with a major record company.","1989-12-13",,,"4","film","false"
